#REFERENCE 3 39.9711520 -1.5822620
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   252   814.098  1717.571  1900.739     0.000     0.000     1.000      0.00  -1490871.9  -425287.6    ++
   250   -62.578   698.036   700.835     0.003     0.003     1.000      0.00  -950437.2  115147.0    ++
   249  1526.453  -396.470  1577.101     0.001     0.001     1.000      0.00  -1403867.2       0.0    ++
   248   242.371  1450.772  1470.878     0.001     0.001     1.000      0.00  -1348043.9   55823.3    ++
   247   590.416   127.736   604.076     0.003     0.003     1.000      0.00  -903007.2  500860.0    ++
   246  -219.283  1279.614  1298.267     0.001     0.001     1.000      0.00  -1280820.5  123046.7    ++
   240  -198.892  1532.020  1544.877     0.001     0.001     1.000      0.00  -1375738.4   28128.8    ++
   239   907.630   582.726  1078.593     0.001     0.001     1.000      0.00  -1191083.8       0.0    ++
   238   -27.742    40.417    49.022     0.037     0.037     1.103      0.11  -74771.8  1116312.0    ++
   236  1034.773   612.663  1202.543     0.001     0.001     1.000      0.00  -1249612.1  -58528.3    ++
   233  -191.333  -356.059   404.211     0.006     0.006     1.001      0.00  -724495.7  466588.1    ++
   231  1712.487  1125.182  2049.060     0.000     0.000     1.000      0.00  -1537926.2  -346842.5    ++
   230  1043.241  1487.120  1816.556     0.000     0.000     1.000      0.00  -1467398.7  -276314.9    ++
   229  1247.494   555.653  1365.647     0.001     0.001     1.000      0.00  -1319590.6       0.0    ++
   226  1029.791  1626.670  1925.234     0.000     0.000     1.000      0.00  -1498986.5  -179395.9    ++
   225   752.541   732.950  1050.493     0.001     0.001     1.000      0.00  -1173017.3  146573.3    ++
   224  1214.818  -623.387  1365.428     0.001     0.001     1.000      0.00  -1328077.0   -8486.4    ++
   223  1013.968  -731.521  1250.302     0.001     0.001     1.000      0.00  -1281857.7   37732.9    ++
   221   648.592  -569.731   863.288     0.002     0.002     1.000      0.00  -1090792.4  228798.3    ++
   220  1420.763  1417.475  2006.938     0.000     0.000     1.000      0.00  -1524221.9  -204631.3    ++
   218  -418.632  1687.450  1738.603     0.001     0.001     1.000      0.00  -1441636.8       0.0    ++
   217  1458.714  -620.305  1585.126     0.001     0.001     1.000      0.00  -1407205.0   34431.8    ++
   213  -166.742   920.470   935.451     0.002     0.002     1.000      0.00  -1103949.2  337687.6    ++
   212  1170.127  -730.039  1379.186     0.001     0.001     1.000      0.00  -1333517.8  108118.9    ++
   211  1641.244  -379.086  1684.455     0.000     0.000     1.000      0.00  -1439025.6    2611.2    ++
   209   793.454   915.309  1211.346     0.001     0.001     1.000      0.00  -1247790.7       0.0    ++
   208  -326.173  -687.380   760.842     0.002     0.002     1.000      0.00  -1023392.1  224398.6    ++
   205   505.697   513.433   720.654     0.003     0.003     1.000      0.00  -975098.4  272692.3    ++
   203  1468.443    96.794  1471.629     0.001     0.001     1.000      0.00  -1364287.4  -116496.7    ++
   202  1297.859   969.765  1620.149     0.001     0.001     1.000      0.00  -1408673.6  -160882.9    ++
   201  1528.428  1164.229  1921.334     0.000     0.000     1.000      0.00  -1501777.1  -253986.4    ++
   200    -5.818  -238.650   238.721     0.014     0.014     1.004      0.00  -509930.7  737860.0    ++
   199   862.288  1654.638  1865.843     0.000     0.000     1.000      0.00  -1480926.2       0.0    ++
   198   655.503  -581.830   876.476     0.002     0.002     1.000      0.00  -1098454.6  382471.6    ++
   187  -648.257   415.648   770.065     0.002     0.002     1.000      0.00  -1019680.1       0.0    ++
   185   349.599  -614.761   707.213     0.002     0.002     1.000      0.00  -989795.4   29884.6    ++
   184   366.446   962.855  1030.230     0.001     0.001     1.000      0.00  -1155497.4  -135817.4    ++
   182   971.549   253.243  1004.012     0.001     0.001     1.000      0.00  -1159534.3  -139854.2    ++
   178   -60.819  1177.794  1179.363     0.001     0.001     1.000      0.00  -1227687.3       0.0    ++
   174  1485.187   114.232  1489.573     0.001     0.001     1.000      0.00  -1370655.8  -142968.5    ++
   172  1598.864  1031.041  1902.475     0.000     0.000     1.000      0.00  -1497303.1  -269615.8    ++
   170  1574.955  -693.717  1720.967     0.000     0.000     1.000      0.00  -1451304.5  -223617.2    ++
   168  1402.194  1337.827  1938.021     0.000     0.000     1.000      0.00  -1505229.7       0.0    ++
   167  1140.105  1773.181  2108.082     0.000     0.000     1.000      0.00  -1549254.7  -44025.0    ++
   166   706.948  1313.958  1492.066     0.001     0.001     1.000      0.00  -1358045.0  147184.7    ++
   165  1487.734   710.900  1648.858     0.001     0.001     1.000      0.00  -1420897.5   84332.2    ++
   164  -606.006   955.482  1131.454     0.001     0.001     1.000      0.00  -1211910.9  293318.9    ++
   163   355.617  1059.166  1117.272     0.001     0.001     1.000      0.00  -1198869.3  306360.4    ++
   160  -697.745  1672.953  1812.628     0.000     0.000     1.000      0.00  -1466025.3   39204.4    ++
   158   770.640  1765.896  1926.727     0.000     0.000     1.000      0.00  -1498163.8       0.0    ++
   157  1280.808   791.301  1505.532     0.001     0.001     1.000      0.00  -1370104.1  128059.8    ++
