Field,IAU,RA,Dec,F250,e_F250
CS-Abell-370,2HERMES S250 SF J023951.9-013350,39.966373,-1.5639821,0,12.495655
CS-Abell-370,2HERMES S250 SF J023951.9-013559,39.966625,-1.5997642,65.69875,0.6758408
CS-Abell-370,2HERMES S250 SF J023952.0-013616,39.96706,-1.6045663,14.912579,0.6935264
CS-Abell-370,2HERMES S250 SF J023952.0-013700,39.966995,-1.6167313,1.6838402,0.7135135
CS-Abell-370,2HERMES S250 SF J023952.0-013744,39.96673,-1.6290907,0,8.297964
CS-Abell-370,2HERMES S250 SF J023952.1-013522,39.967167,-1.5895022,9.460256,0.6569795
CS-Abell-370,2HERMES S250 SF J023952.2-013207,39.96761,-1.5355059,113.945656,0.6677929
CS-Abell-370,2HERMES S250 SF J023952.2-014332,39.967636,-1.7257552,21.847805,1.6916224
CS-Abell-370,2HERMES S250 SF J023952.5-013329,39.968895,-1.5581868,0,9.290467
CS-Abell-370,2HERMES S250 SF J023952.7-013434,39.969666,-1.5762721,0,5.4082346
CS-Abell-370,2HERMES S250 SF J023952.8-012754,39.97035,-1.4652051,20.974657,1.1428586
CS-Abell-370,2HERMES S250 SF J023952.8-012916,39.970398,-1.4879897,10.624108,0.94774157
CS-Abell-370,2HERMES S250 SF J023952.8-014151,39.97004,-1.6976587,10.497711,1.37703
CS-Abell-370,2HERMES S250 SF J023952.9-013505,39.970524,-1.584979,56.403988,0.6490026
CS-Abell-370,2HERMES S250 SF J023953.0-013018,39.970985,-1.5052298,0,8.4842415
CS-Abell-370,2HERMES S250 SF J023953.1-013748,39.971424,-1.6301544,2.679357,0.80715615
CS-Abell-370,2HERMES S250 SF J023953.2-012524,39.972015,-1.423345,4.3268933,1.6121274
CS-Abell-370,2HERMES S250 SF J023953.5-013616,39.973186,-1.6047059,0,3.4911778
CS-Abell-370,2HERMES S250 SF J023953.6-013212,39.97344,-1.5369005,0,20.076706
CS-Abell-370,2HERMES S250 SF J023953.8-013505,39.974358,-1.5848726,20.302448,0.6441891
CS-Abell-370,2HERMES S250 SF J023954.0-013138,39.97512,-1.5273197,30.691444,0.7089451
CS-Abell-370,2HERMES S250 SF J023954.1-013532,39.975826,-1.592342,0,9.214846
