   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME
   399   595.697   407.317   720.955     0.018     0.018     1.001      0.00  -923077.2       0.0
   398  -450.806  -105.722   464.117     0.036     0.036     1.003      0.00  -731337.3  191740.0
   397  -694.855  -727.968  1006.778     0.010     0.010     1.001      0.00  -1106106.0  -183028.8
   396  -567.626   -30.985   569.691     0.026     0.026     1.002      0.00  -824806.9   98270.3
   395    15.845  -834.333   833.839     0.014     0.014     1.001      0.00  -1009971.6  -86894.4
   394   -89.454  -603.085   609.253     0.024     0.024     1.003      0.00  -856448.4   66628.9
   393   407.000   140.340   429.534     0.043     0.043     1.005      0.01  -682381.9  240695.3
   392  -430.222   130.050   450.830     0.039     0.039     1.004      0.00  -708563.8  214513.4
   391   -90.322  -346.682   357.972     0.058     0.058     1.013      0.01  -615806.1  307271.1
   390   271.726   207.372   341.198     0.066     0.066     1.012      0.01  -564465.8  358611.4
   389  -621.616  -587.314   855.673     0.013     0.013     1.001      0.00  -1024466.1       0.0
   388  -536.068   895.940  1045.246     0.009     0.009     1.000      0.00  -1107591.2  -83125.1
   387  -675.977   742.405  1005.351     0.010     0.010     1.000      0.00  -1091125.7  -66659.6
   386   480.218   -28.336   479.764     0.034     0.034     1.003      0.00  -744952.6  279513.5
   385   525.886   411.967   667.433     0.021     0.021     1.002      0.00  -882490.7  141975.4
   384  -578.152   161.503   601.662     0.024     0.024     1.002      0.00  -845323.3  179142.8
   383  -655.455  -613.129   898.016     0.012     0.012     1.001      0.00  -1048642.5  -24176.5
   382  -594.543   815.778  1010.685     0.010     0.010     1.000      0.00  -1091709.1  -67243.0
   381  -433.728  -364.608   567.182     0.026     0.026     1.003      0.00  -825015.6  199450.5
   380   709.243  -530.722   884.451     0.012     0.012     1.001      0.00  -1044055.2  -19589.1
   379   584.568   427.500   723.563     0.018     0.018     1.001      0.00  -923986.7       0.0
   378  -275.423  -601.955   661.930     0.021     0.021     1.002      0.00  -896637.2   27349.5
   377   411.320  -800.281   898.670     0.012     0.012     1.001      0.00  -1050140.7  -126154.0
   376   201.729   417.826   463.992     0.044     0.044     1.008      0.01  -688751.7  235234.9
   375   531.922   189.033   563.539     0.027     0.027     1.002      0.00  -809673.1  114313.6
   374  -714.287  -862.854  1120.467     0.008     0.008     1.000      0.00  -1160414.0  -236427.4
   373   799.828  -829.537  1151.008     0.007     0.007     1.000      0.00  -1176890.3  -252903.6
   372   281.070  -479.526   554.658     0.027     0.027     1.003      0.00  -816649.8  107336.9
   371    79.678   269.962   281.719     0.102     0.103     1.036      0.04  -453612.0  470374.7
   370   247.795   771.799   810.812     0.016     0.016     1.002      0.00  -968205.3  -44218.6
   369   183.957  -305.306   355.264     0.055     0.055     1.010      0.01  -618086.0       0.0
   368  -790.188   250.324   830.275     0.014     0.014     1.001      0.00  -1003537.1  -385451.1
   367  -512.552  -740.907   901.122     0.012     0.012     1.001      0.00  -1049462.8  -431376.8
   366   507.722   822.246   966.241     0.011     0.011     1.001      0.00  -1063640.3  -445554.2
   365  -886.922  -700.135  1130.565     0.008     0.008     1.000      0.00  -1165741.9  -547655.8
   364   -54.985   724.790   727.589     0.020     0.020     1.002      0.00  -911309.4  -293223.4
   363    60.285    94.097   111.607     0.299     0.314     1.304      0.29  -144903.5  473182.6
   362   415.166  -656.666   775.704     0.015     0.015     1.001      0.00  -977768.1  -359682.1
   361   326.762  -535.781   626.379     0.022     0.022     1.002      0.00  -874151.7  -256065.7
   360  -239.834   486.587   543.595     0.032     0.032     1.004      0.00  -771202.8  -153116.8
   359   149.216  -519.578   539.636     0.029     0.029     1.004      0.00  -801670.9       0.0
   358   834.658   -75.017   836.717     0.013     0.013     1.001      0.00  -1012872.2  -211201.4
   357   406.761   756.966   859.287     0.014     0.014     1.001      0.00  -1001213.6  -199542.7
   356   297.601   886.029   934.864     0.012     0.012     1.001      0.00  -1042929.5  -241258.6
